Executable,DllName
sdclt.exe,bcd.dll
SearchFilterHost.exe,TQUERY.DLL
SearchProtocolHost.exe,TQUERY.DLL
SecEdit.exe,SCECLI.dll
secinit.exe,wkscli.dll
SecurityHealthService.exe,USERENV.dll
SecurityHealthService.exe,FirewallAPI.dll
SecurityHealthService.exe,WTSAPI32.dll
SecurityHealthService.exe,Wldp.dll
SecurityHealthService.exe,drvstore.dll
SecurityHealthService.exe,winbio.dll
sessionmsg.exe,DUser.dll
sessionmsg.exe,DUI70.dll
sethc.exe,PlaySndSrv.DLL
sethc.exe,OLEACC.dll
sethc.exe,UxTheme.dll
sethc.exe,DUI70.dll
sethc.exe,WTSAPI32.dll
setspn.exe,logoncli.dll
setspn.exe,netutils.dll
setspn.exe,NTDSAPI.dll
SettingSyncHost.exe,policymanager.dll
SettingSyncHost.exe,UMPDC.dll
SettingSyncHost.exe,USERENV.dll
SettingSyncHost.exe,PROPSYS.dll
setupugc.exe,DNSAPI.dll
setupugc.exe,WDSCORE.dll
setupugc.exe,MPR.dll
setx.exe,SspiCli.dll
sfc.exe,POWRPROF.dll
sfc.exe,VERSION.dll
SgrmBroker.exe,tbs.dll
SgrmBroker.exe,ncrypt.dll
SgrmLpac.exe,WINHTTP.dll
shrpubw.exe,MFC42u.dll
shrpubw.exe,netutils.dll
shrpubw.exe,srvcli.dll
shrpubw.exe,ACLUI.dll
sigverif.exe,VERSION.dll
SIHClient.exe,WINHTTP.dll
SIHClient.exe,DNSAPI.dll
SIHClient.exe,Cabinet.dll
